vote_2020,age,Age_group,state,race,vote_trump,vote_Biden
Donald Trump,49,41 to 60,WI,White,1,0
Donald Trump,46,41 to 60,VA,White,1,0
Donald Trump,75,61 to 80,TX,White,1,0
Donald Trump,52,41 to 60,WA,White,1,0
Joe Biden,21,21 to 40,MA,White,0,1
Joe Biden,38,21 to 40,TX,"Black, or African American",0,1
Donald Trump,69,61 to 80,CA,White,1,0
Donald Trump,59,41 to 60,NC,White,1,0
Donald Trump,74,61 to 80,MD,White,1,0
Joe Biden,55,41 to 60,FL,White,0,1
Donald Trump,62,61 to 80,WV,White,1,0
Joe Biden,42,41 to 60,OH,White,0,1
Joe Biden,81,above 80,NY,White,0,1
Joe Biden,22,21 to 40,KY,White,0,1
Donald Trump,73,61 to 80,FL,White,1,0
Donald Trump,71,61 to 80,IN,White,1,0
Joe Biden,63,61 to 80,MI,White,0,1
Joe Biden,41,41 to 60,WA,White,0,1
Donald Trump,71,61 to 80,IA,White,1,0
Donald Trump,55,41 to 60,SC,White,1,0
Joe Biden,68,61 to 80,MN,White,0,1
Donald Trump,69,61 to 80,GA,White,1,0
Donald Trump,33,21 to 40,PA,White,1,0
Joe Biden,70,61 to 80,NJ,White,0,1
Donald Trump,32,21 to 40,VA,White,1,0
Donald Trump,77,61 to 80,SC,White,1,0
Donald Trump,65,61 to 80,TX,White,1,0
Joe Biden,22,21 to 40,FL,"Black, or African American",0,1
Joe Biden,63,61 to 80,AZ,White,0,1
Joe Biden,79,61 to 80,IL,White,0,1
Donald Trump,70,61 to 80,OH,White,1,0
Joe Biden,54,41 to 60,OH,White,0,1
Joe Biden,72,61 to 80,CA,White,0,1
Donald Trump,40,21 to 40,FL,White,1,0
Joe Biden,69,61 to 80,NC,"Black, or African American",0,1
Joe Biden,37,21 to 40,TX,White,0,1
Joe Biden,36,21 to 40,FL,White,0,1
Joe Biden,40,21 to 40,TX,White,0,1
Joe Biden,41,41 to 60,NJ,White,0,1
Joe Biden,19,20 or less,FL,White,0,1
Donald Trump,72,61 to 80,OR,White,1,0
Donald Trump,55,41 to 60,PA,White,1,0
Joe Biden,80,61 to 80,PA,"Black, or African American",0,1
Joe Biden,66,61 to 80,NC,White,0,1
Donald Trump,40,21 to 40,TX,White,1,0
Donald Trump,31,21 to 40,VA,Other asian or pacific islander,1,0
Donald Trump,69,61 to 80,OH,White,1,0
Joe Biden,31,21 to 40,CA,Chinese,0,1
